	LocationID	CoutryID	CountryName	Description	DateTimeAdded	ID	DisplayValue
	2525	1	ZAMBIA	NENIMA YARD, LUSAKA	12/24/2024 10:25 PM	2525	NENIMA YARD, LUSAKA
	1563	1	ZAMBIA	NEW INARA YARD, NDOLA	1/13/2023 3:32 PM	1563	NEW INARA YARD, NDOLA
	2503	1	ZAMBIA	NEW INARA YARD, SOLWEZI	12/7/2024 6:24 AM	2503	NEW INARA YARD, SOLWEZI
	1727	1	ZAMBIA	NEW KANSANSHI TRUCK PARK, SOLWEZI	4/14/2023 9:05 PM	1727	NEW KANSANSHI TRUCK PARK, SOLWEZI
	2039	5	ZIMBABWE	NGUNDU	7/1/2023 2:32 PM	2039	NGUNDU
	2005	5	ZIMBABWE	NGUNDUTO	6/13/2023 2:37 PM	2005	NGUNDUTO
	2074	3	BOTSWANA	NGWASHA	8/4/2023 5:05 PM	2074	NGWASHA
	2080	3	BOTSWANA	NGWASHA POLICE CHECKPOINT	8/12/2023 7:50 AM	2080	NGWASHA POLICE CHECKPOINT
	1989	3	BOTSWANA	NGWASHA TOLL GATE	6/12/2023 7:40 AM	1989	NGWASHA TOLL GATE
	2027	3	BOTSWANA	NGWASHA WEIGHBRIDGE	6/21/2023 9:04 PM	2027	NGWASHA WEIGHBRIDGE
	2053	7	MOZAMBIQUE	NHAMATANDA	7/16/2023 6:43 AM	2053	NHAMATANDA
	2195	7	MOZAMBIQUE	NHAMPASSA MANICA PROVINCE	12/9/2023 8:51 PM	2195	NHAMPASSA MANICA PROVINCE
	2303	0		NHASSACARA	5/21/2024 1:55 PM	2303	NHASSACARA
	1568	1	ZAMBIA	NKANA WEST KITWE	1/13/2023 4:43 PM	1568	NKANA WEST KITWE
	1620	1	ZAMBIA	NKEYEMA	2/20/2023 11:16 PM	1620	NKEYEMA
	1621	1	ZAMBIA	NKEYEMA TBZ	2/20/2023 11:17 PM	1621	NKEYEMA TBZ
	1582	1	ZAMBIA	NKUMBI	1/23/2023 10:30 AM	1582	NKUMBI
	1456	1	ZAMBIA	NKUMBI CHECKPOINT 	12/11/2022 9:40 AM	1456	NKUMBI CHECKPOINT 
	1604	1	ZAMBIA	NO UPDATE TODAY	1/30/2023 9:15 AM	1604	NO UPDATE TODAY
	1593	1	ZAMBIA	NOLOLO DISTRICT	1/25/2023 12:23 PM	1593	NOLOLO DISTRICT
	1889	1	ZAMBIA	NSHINSO	4/21/2023 7:59 PM	1889	NSHINSO
	2718	3	BOTSWANA	NSWANA FILLING STATION, MARTIN'S DRIFT 	9/15/2025 6:51 PM	2718	NSWANA FILLING STATION, MARTIN'S DRIFT 
	2704	0		NTEKO	8/19/2025 5:16 PM	2704	NTEKO
	2340	0		NYABIRA	6/20/2024 1:18 PM	2340	NYABIRA
	2376	5	ZIMBABWE	NYAMAKATE	7/16/2024 2:26 PM	2376	NYAMAKATE
	2436	1	ZAMBIA	NYATI YARD, LIVINGSTONE	8/20/2024 9:42 PM	2436	NYATI YARD, LIVINGSTONE
	2055	5	ZIMBABWE	NYAZURA	7/16/2023 9:15 AM	2055	NYAZURA
	2382	0		NYAZURA AREA	7/20/2024 8:13 PM	2382	NYAZURA AREA
	1402	1	ZAMBIA	NYENYEZI AREA, MASAITI DISTRICT	12/6/2022 2:44 PM	1402	NYENYEZI AREA, MASAITI DISTRICT
	2295	0		NYIMBA 	5/13/2024 7:12 AM	2295	NYIMBA 
	1493	2	TANZANIA	NYOLOLO	12/13/2022 8:57 PM	1493	NYOLOLO
	2665	0		OASIS FILLING STATION LUSAKA	7/12/2025 4:12 PM	2665	OASIS FILLING STATION LUSAKA
	2480	1	ZAMBIA	OCEANSTAR YARD, NDOLA 	10/19/2024 11:07 AM	2480	OCEANSTAR YARD, NDOLA 
	2247	1	ZAMBIA	OCTANE YARD, NDOLA	3/9/2024 12:50 PM	2247	OCTANE YARD, NDOLA
	2049	5	ZIMBABWE	ODZI	7/15/2023 1:57 PM	2049	ODZI
	2144	1	ZAMBIA	OLD INARA YARD, NDOLA	11/3/2023 9:34 AM	2144	OLD INARA YARD, NDOLA
	2326	0		ONE KILOMETER TO REACH ELEPHANTS WALK	6/12/2024 6:15 PM	2326	ONE KILOMETER TO REACH ELEPHANTS WALK
	2575	1	ZAMBIA	ORYX FILLING STATION, NDOLA	3/20/2025 7:29 PM	2575	ORYX FILLING STATION, NDOLA
	2214	1	ZAMBIA	OVERLAND YARD, NDOLA	1/2/2024 5:31 PM	2214	OVERLAND YARD, NDOLA
	2460	0		P20, 20KM BEFORE CHEGUTU	9/20/2024 9:16 PM	2460	P20, 20KM BEFORE CHEGUTU
	2307	5	ZIMBABWE	PAGANGO	5/23/2024 1:38 PM	2307	PAGANGO
	1996	3	BOTSWANA	PALAPYE TURN OFF 	6/12/2023 3:06 PM	1996	PALAPYE TURN OFF 
	2709	1	ZAMBIA	PALMZONE TRUCK PARK, CHISAMBA	9/3/2025 7:38 PM	2709	PALMZONE TRUCK PARK, CHISAMBA
	1987	3	BOTSWANA	PANDAMATENGA	6/11/2023 4:33 PM	1987	PANDAMATENGA
	1447	2	TANZANIA	PASSED CHALINZE	12/10/2022 10:23 AM	1447	PASSED CHALINZE
	1511	2	TANZANIA	PASSED CHIMALA	12/21/2022 2:29 PM	1511	PASSED CHIMALA
	1525	2	TANZANIA	PASSED COMFORT	12/29/2022 8:35 AM	1525	PASSED COMFORT
	1419	2	TANZANIA	PASSED DOMA	12/6/2022 2:44 PM	1419	PASSED DOMA
	1422	2	TANZANIA	PASSED IGAWA	12/6/2022 2:44 PM	1422	PASSED IGAWA
	1449	2	TANZANIA	PASSED IGURUSI	12/10/2022 10:23 AM	1449	PASSED IGURUSI
	1399	2	TANZANIA	PASSED ILULA	12/6/2022 2:44 PM	1399	PASSED ILULA
	1415	2	TANZANIA	PASSED IRINGA	12/6/2022 2:44 PM	1415	PASSED IRINGA
	1406	2	TANZANIA	PASSED KIBAHA	12/6/2022 2:44 PM	1406	PASSED KIBAHA
	1409	2	TANZANIA	PASSED MAFINGA	12/6/2022 2:44 PM	1409	PASSED MAFINGA
	1413	2	TANZANIA	PASSED MAKAMBAKO	12/6/2022 2:44 PM	1413	PASSED MAKAMBAKO
	1420	2	TANZANIA	PASSED MBAIZI	12/6/2022 2:44 PM	1420	PASSED MBAIZI
	1417	2	TANZANIA	PASSED MBALIZI	12/6/2022 2:44 PM	1417	PASSED MBALIZI
	1524	2	TANZANIA	PASSED MBENZI	12/29/2022 8:35 AM	1524	PASSED MBENZI
	1411	2	TANZANIA	PASSED MBEYA	12/6/2022 2:44 PM	1411	PASSED MBEYA
	1508	2	TANZANIA	PASSED MDAULA	12/21/2022 2:29 PM	1508	PASSED MDAULA
	1407	2	TANZANIA	PASSED MIKESE	12/6/2022 2:44 PM	1407	PASSED MIKESE
	1421	2	TANZANIA	PASSED MIKUMI	12/6/2022 2:44 PM	1421	PASSED MIKUMI
	1448	2	TANZANIA	PASSED MISUGUSUGU	12/10/2022 10:23 AM	1448	PASSED MISUGUSUGU
	1416	2	TANZANIA	PASSED MLOWO	12/6/2022 2:44 PM	1416	PASSED MLOWO
	2632	1	ZAMBIA	PEACE WAY YARD, NDOLA	6/21/2025 8:07 PM	2632	PEACE WAY YARD, NDOLA
	1465	1	ZAMBIA	PEMBA	12/11/2022 3:16 PM	1465	PEMBA
	1527	1	ZAMBIA	PENSULO	12/29/2022 12:19 PM	1527	PENSULO
	2157	1	ZAMBIA	PETAUKE	11/11/2023 6:21 AM	2157	PETAUKE
	2621	1	ZAMBIA	PETRODA FILLING STATION, KASUMBALESA	6/10/2025 7:53 PM	2621	PETRODA FILLING STATION, KASUMBALESA
	2643	0		PETRODA FILLING STATION, KITWE	6/30/2025 11:13 AM	2643	PETRODA FILLING STATION, KITWE
	2145	1	ZAMBIA	PHILIP SCHOOL, SHIWA NG'ANDU	11/4/2023 9:50 PM	2145	PHILIP SCHOOL, SHIWA NG'ANDU
	2272	1	ZAMBIA	PHILIP VILLAGE, SHIWA NG'ANDU DISTRICT	4/10/2024 6:49 PM	2272	PHILIP VILLAGE, SHIWA NG'ANDU DISTRICT
	1672	2	TANZANIA	PICHA NDEKE	3/14/2023 5:41 PM	1672	PICHA NDEKE
	2115	2	TANZANIA	PICHA YA NDEGE	10/3/2023 9:01 AM	2115	PICHA YA NDEGE
	2539	1	ZAMBIA	POLICE STATION, KAPIRI MPOSHI	1/13/2025 8:29 PM	2539	POLICE STATION, KAPIRI MPOSHI
	1953	1	ZAMBIA	POLYTRA YARD, KITWE	5/3/2023 10:37 AM	1953	POLYTRA YARD, KITWE
	2686	1	ZAMBIA	POWER TOOLS YARD, KITWE	8/7/2025 4:05 PM	2686	POWER TOOLS YARD, KITWE
	2167	1	ZAMBIA	PUMA FILLIMG STATION, MPIKA	11/12/2023 6:50 PM	2167	PUMA FILLIMG STATION, MPIKA
	2166	3	BOTSWANA	PUMA FILLING STATION	11/12/2023 6:49 PM	2166	PUMA FILLING STATION
	2233	7	MOZAMBIQUE	PUNGUE	2/4/2024 11:59 AM	2233	PUNGUE
	1557	2	TANZANIA	PWANI	1/4/2023 1:14 PM	1557	PWANI
	2430	1	ZAMBIA	QUATTRO YARD, KITWE	8/19/2024 8:03 PM	2430	QUATTRO YARD, KITWE
	2552	1	ZAMBIA	RAIL CROSSING AREA, KAPIRI MPOSHI	2/4/2025 8:09 PM	2552	RAIL CROSSING AREA, KAPIRI MPOSHI
	2411	0		RAINA YARD, LUSAKA	8/9/2024 8:50 PM	2411	RAINA YARD, LUSAKA
	2394	1	ZAMBIA	RAINBOW TRUCK PARK, NDOLA	7/27/2024 7:46 PM	2394	RAINBOW TRUCK PARK, NDOLA
	2638	1	ZAMBIA	RAS LOGISTICS YARD, NDOLA	6/26/2025 7:59 PM	2638	RAS LOGISTICS YARD, NDOLA
	2713	1	ZAMBIA	RBT YARD, KASUMBALESA	9/8/2025 9:26 PM	2713	RBT YARD, KASUMBALESA
	2106	1	ZAMBIA	RDC YARD, NDOLA	9/21/2023 7:59 AM	2106	RDC YARD, NDOLA
	2586	0		RED RHINO TURN OFF	4/15/2025 8:42 AM	2586	RED RHINO TURN OFF
	2333	0		REDMART HARARE	6/15/2024 6:11 PM	2333	REDMART HARARE
	2368	0		RELOAD LOGISTICS NABILA WAREHOUSE - BEIRA	7/9/2024 6:07 PM	2368	RELOAD LOGISTICS NABILA WAREHOUSE - BEIRA
	2332	0		REMART IN HARARE	6/15/2024 6:09 PM	2332	REMART IN HARARE
	2156	1	ZAMBIA	RGT YARD NDOLA	11/10/2023 3:56 PM	2156	RGT YARD NDOLA
	1383	1	ZAMBIA	RGT YARD, KASUMBALESA	11/23/2022 10:46 AM	1383	RGT YARD, KASUMBALESA
	2305	0		RIDAN IN KAROI	5/22/2024 7:57 PM	2305	RIDAN IN KAROI
	2729	0		RIETFONTEIN	10/4/2025 8:48 AM	2729	RIETFONTEIN
	2015	1	ZAMBIA	RIMO TRUCK PARK L/STONE	6/15/2023 10:27 AM	2015	RIMO TRUCK PARK L/STONE
	2451	0		RIO LUENHA 	9/5/2024 3:03 PM	2451	RIO LUENHA 
	2695	1	ZAMBIA	RPS YARD, LUSAKA	8/14/2025 8:44 AM	2695	RPS YARD, LUSAKA
	2588	1	ZAMBIA	RRT NDOLA	4/26/2025 10:24 AM	2588	RRT NDOLA
	2118	1	ZAMBIA	RRT YARD, NDOLA	10/9/2023 11:31 AM	2118	RRT YARD, NDOLA
	1510	2	TANZANIA	RUAHA MBUYUNI	12/21/2022 2:29 PM	1510	RUAHA MBUYUNI
	1501	2	TANZANIA	RUANDA	12/15/2022 1:11 PM	1501	RUANDA
	2161	1	ZAMBIA	RUFUNSA	11/11/2023 5:25 PM	2161	RUFUNSA
	2040	5	ZIMBABWE	RUNDE	7/1/2023 3:31 PM	2040	RUNDE
	2498	2	TANZANIA	RUNGEMBA	11/18/2024 12:41 PM	2498	RUNGEMBA
	2007	5	ZIMBABWE	RUNTENGA 	6/13/2023 3:47 PM	2007	RUNTENGA 
	2045	5	ZIMBABWE	RUSAPE	7/15/2023 7:28 AM	2045	RUSAPE
	2012	5	ZIMBABWE	RUTENGA	6/14/2023 3:25 PM	2012	RUTENGA
	1706	2	TANZANIA	RUVU	4/7/2023 1:08 PM	1706	RUVU
	2058	5	ZIMBABWE	RUWA	7/16/2023 3:29 PM	2058	RUWA
	2010	3	BOTSWANA	SA SIDE	6/14/2023 12:15 PM	2010	SA SIDE
	1410	2	TANZANIA	SABASABA	12/6/2022 2:44 PM	1410	SABASABA
	1371	1	ZAMBIA	SABINA	11/23/2022 10:46 AM	1371	SABINA
	2531	1	ZAMBIA	SABINA TRUCK PARK, KALULUSHI	12/29/2024 6:22 PM	2531	SABINA TRUCK PARK, KALULUSHI
	2095	1	ZAMBIA	SAKANIA CHECKPOINT	9/6/2023 7:26 AM	2095	SAKANIA CHECKPOINT
	2087	6	CONGO (DRC)	SAKANIA CONGO SIDE	8/21/2023 10:51 AM	2087	SAKANIA CONGO SIDE
	2085	1	ZAMBIA	SAKANIA ZAMBIA SIDE	8/21/2023 7:24 AM	2085	SAKANIA ZAMBIA SIDE
	2135	3	BOTSWANA	SALALA	10/26/2023 11:46 AM	2135	SALALA
	1578	1	ZAMBIA	SALAMO	1/22/2023 9:02 AM	1578	SALAMO
	2212	1	ZAMBIA	SALAZI YARD, NDOLA	1/1/2024 8:55 AM	2212	SALAZI YARD, NDOLA
	2475	0		SANDHU TRUCK PARK LUSAKA	10/15/2024 4:47 PM	2475	SANDHU TRUCK PARK LUSAKA
	2398	1	ZAMBIA	SANDHU YARD, NDOLA	7/30/2024 11:25 PM	2398	SANDHU YARD, NDOLA
	1646	2	TANZANIA	SANGASANGA	3/8/2023 3:00 PM	1646	SANGASANGA
	1891	1	ZAMBIA	SANSAMWENJE	4/24/2023 9:27 AM	1891	SANSAMWENJE
	1970	2	TANZANIA	SAO HILL	5/21/2023 5:21 PM	1970	SAO HILL
	2488	1	ZAMBIA	SARASUDANI YARD NDOLA	10/30/2024 6:50 PM	2488	SARASUDANI YARD NDOLA
	2284	1	ZAMBIA	SARAZI YARD, NDOLA	5/8/2024 8:01 PM	2284	SARAZI YARD, NDOLA
	2129	1	ZAMBIA	SASAMWENJE	10/22/2023 11:00 AM	2129	SASAMWENJE
	2073	1	ZAMBIA	SEBINE	8/4/2023 8:49 AM	2073	SEBINE
	2612	0		SEGERA	5/22/2025 8:23 AM	2612	SEGERA
	1664	1	ZAMBIA	SENANGA	3/12/2023 5:01 PM	1664	SENANGA
